Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Effect_Level_1,Effect_Level_2,Effect_Level_3,Effect_Level_4,Effect_Level_5,Flavor_1,Flavor_2,Flavor_3,Leafly_Name,Medicinal_1,Medicinal_2,Medicinal_3,Medicinal_4,Medicinal_5,Medicinal_Level_1,Medicinal_Level_2,Medicinal_Level_3,Medicinal_Level_4,Medicinal_Level_5,Name,Negative_1,Negative_2,Negative_3,Negative_4,Negative_5,Negative_Level_1,Negative_Level_2,Negative_Level_3,Negative_Level_4,Negative_Level_5,Number_of_Reviews,Rating,Type
Euphoric,Relaxed,Creative,Happy,Sleepy,width:100%,width:71%,width:71%,width:64%,width:64%,1. Tea,2. Sweet,3. Woody,Afh,Stress,Pain,Insomnia,Depression,Nausea,width:100%,width:89%,width:70%,width:60%,width:60%,Afghanica,Dry Mouth,Dry Eyes,Dizzy,Anxious,Paranoid,width:100%,width:60%,width:39%,width:19%,width:9%,16,4.1,Hybrid
Hungry,Relaxed,Aroused,Focused,Sleepy,width:100%,width:100%,width:50%,width:50%,width:50%,1. Citrus,2. Skunk,,Afa,Eye Pressure,Headaches,Insomnia,Nausea,Pain,width:100%,width:100%,width:100%,width:100%,width:100%,Afghanimal,Dry Eyes,Dry Mouth,Anxious,,,width:100%,width:100%,width:50%,,,2,4.5,Indica
Relaxed,Euphoric,Sleepy,Happy,Uplifted,width:100%,width:93%,width:75%,width:72%,width:59%,1. Earthy,2. Sweet,3. Pine,Afo,Stress,Pain,Depression,Insomnia,Lack of Appetite,width:100%,width:87%,width:79%,width:61%,width:50%,Afgoo,Dry Mouth,Dry Eyes,Dizzy,Anxious,Paranoid,width:100%,width:71%,width:65%,width:17%,width:9%,626,4.2,Indica
Relaxed,Happy,Sleepy,Hungry,Creative,width:100%,width:67%,width:54%,width:38%,width:32%,1. Pine,2. Earthy,3. Grape,Af,Stress,Pain,Insomnia,Depression,Muscle Spasms,width:100%,width:82%,width:51%,width:40%,width:29%,Afgooey,Dry Mouth,Dry Eyes,Dizzy,Paranoid,Headache,width:100%,width:32%,width:19%,width:9%,width:3%,358,4.2,Indica
Euphoric,Giggly,Happy,Uplifted,Hungry,width:100%,width:100%,width:100%,width:100%,width:97%,,,,Afn,Cramps,Depression,Headaches,Pain,Nausea,width:100%,width:100%,width:100%,width:100%,width:50%,Afkansastan,Dry Eyes,Dry Mouth,Anxious,Dizzy,Paranoid,width:100%,width:100%,width:50%,width:50%,width:50%,5,4.0,Indica
Relaxed,Happy,Hungry,Euphoric,Tingly,width:100%,width:71%,width:71%,width:68%,width:68%,1. Pungent,2. Sweet,3. Skunk,Afp,Depression,Stress,Lack of Appetite,Fatigue,Inflammation,width:100%,width:100%,width:92%,width:88%,width:88%,Afpak,Dizzy,,,,,width:100%,,,,,7,4.3,Hybrid
Happy,Giggly,Euphoric,Relaxed,Energetic,width:100%,width:89%,width:76%,width:60%,width:52%,,,,Afr,Stress,Depression,Lack of Appetite,Fatigue,Headaches,width:100%,width:100%,width:87%,width:87%,width:62%,African,Dry Mouth,Dry Eyes,Paranoid,Headache,Anxious,width:100%,width:47%,width:9%,width:7%,width:4%,40,4.0,Sativa
,,,,,,,,,,,,,Akn,,,,,,,,,,,Afrikaner,,,,,,,,,,,2,4.0,Sativa
Happy,Hungry,Relaxed,Energetic,Giggly,width:100%,width:100%,width:100%,width:66%,width:66%,1. Earthy,2. Sweet,3. Woody,Aft,Depression,Lack of Appetite,Pain,Stress,Cramps,width:100%,width:100%,width:100%,width:100%,width:50%,Afrodite,Anxious,Dry Mouth,Dizzy,Dry Eyes,Paranoid,width:100%,width:100%,width:50%,width:50%,width:50%,4,3.0,Hybrid
Relaxed,Hungry,Happy,Creative,Focused,width:100%,width:48%,width:43%,width:43%,width:40%,,,,Afd,Depression,Pain,Stress,Insomnia,Cramps,width:100%,width:88%,width:77%,width:28%,width:22%,Afternoon Delight,Headache,Dry Mouth,Paranoid,Dizzy,Anxious,width:100%,width:62%,width:19%,width:14%,width:9%,26,4.7,Hybrid
